
	Saldo al	Soc.	Cta.mayor	Material	Texto breve de material	¡Val	       Stock total	UMB	Precio variable	       Valor total

	10/2021	PA04	1401130101	95	PANTALLA TRANSP. LUNA VIDRIO S2 ELETTA	2040	                4	UN	        295.00	         1,180.00
	10/2021	PA04	1401130101	96	LIMPIADOR CONTACTO GENERAL 3M	2040	               33	UN	          9.97	           328.90
	10/2021	PA04	1401130101	97	LUBRICANTE SINTETICO FORMULADO/SOPLADOR	2040	                8	CTO	         42.62	           340.96
	10/2021	PA04	1401130101	99	LUBRICANTE DE CADENA	2040	               30	UN	         10.00	           300.00
	10/2021	PA04	1401130101	100	ACEITE PENETRANTE	2040	               68	PT	          2.90	           197.20
	10/2021	PA04	1401130101	112	TRAPO LIMPIO	2040	          463.000	LB	          0.50	           231.50
	10/2021	PA04	1401130101	116	JABON LIQUIDO MANO	2040	               26	GLN	          5.20	           135.20
	10/2021	PA04	1401130101	123	CREMA DESENGRASANTE DE MANOS	2040	                2	UN	         54.00	           108.00
	10/2021	PA04	1401130101	131	LIMPIADOR Y ACONDIONADOR CORREAS 12 OZ.	2040	               12	UN	          5.31	            63.72
	10/2021	PA04	1401130101	135	LIMPIADOR DE ESPUMA 892-160	2040	                4	UN	         23.82	            95.29
	10/2021	PA04	1401130101	135	LIMPIADOR DE ESPUMA 892-160	2040	                1	UN	          0.00	             0.00
	10/2021	PA04	1401130101	137	DESENGRASANTE ZEP-BIG ORANGE	2040	               18	GLN	         63.75	         1,147.50
	10/2021	PA04	1401130101	138	ACIDO REMOVEDOR CONCRETO CERFACT 1943	2040	                2	GLN	         92.49	           184.98
	10/2021	PA04	1401130101	150	CASCO SEGURIDAD MSA MOD-V-GARD AMARILLO	2040	               28	UN	         12.95	           362.60
	10/2021	PA04	1401130101	150	CASCO SEGURIDAD MSA MOD-V-GARD AMARILLO	2040	               23	UN	          0.00	             0.00
	10/2021	PA04	1401130101	151	CASCO SEGURIDAD MSA MOD-V-GARD ROJO	2040	                2	UN	         12.95	            25.90
	10/2021	PA04	1401130101	152	CASCO SEGURIDAD MSA MOD-V-GARD VERDE	2040	               10	UN	         12.95	           129.50
	10/2021	PA04	1401130101	162	FILTRO SOMBRA 12 VIDRIO	2040	               59	UN	          0.67	            39.53
	10/2021	PA04	1401130101	179	GAFA NORTH 90X REFERENCIA ANZI Z87.1	2040	               50	UN	          2.95	           147.50
	10/2021	PA04	1401130101	180	MASCARILLA DESECHABLE DE POLVO REF. 8210	2040	               16	CJ	         15.39	           246.24
	10/2021	PA04	1401130101	308	CINTA 3M ANTIRRESBALANTE ADH	2040	                1	UN	         39.10	            39.10
	10/2021	PA04	1401130101	401	PROBETA PLASTICA 1000CC	2040	                3	UN	         44.95	           134.85
	10/2021	PA04	1401130101	401	PROBETA PLASTICA 1000CC	2040	                1	UN	          0.00	             0.00
	10/2021	PA04	1401130101	498	ACETONA REACT	2040	            1.100	L	         26.12	            28.73
	10/2021	PA04	1401130101	1759	FLUIDO HUMBOLDT H-3814 FCOX240ML	2040	                1	UN	         68.52	            68.52
	10/2021	PA04	1401130101	1834	YODURO/AMONIO PANALYTICAL 9411 008 50000	2040	                5	UN	        497.40	         2,486.98
	10/2021	PA04	1401130101	1910	PROTECTOR AUD COPA 3M NNR 23DB P/1450	2040	                2	UN	         39.95	            79.90
	10/2021	PA04	1401130101	1914	CASCO DE SEGURIDAD VERDE ARGOS	2040	               14	UN	         19.95	           279.30
	10/2021	PA04	1401130101	2040	RESPIRADOR DE MEDIO ROSTRO† TALLA S	2040	               17	UN	         26.95	           458.15
	10/2021	PA04	1401130101	2041	RESPIRADOR DE MEDIO ROSTRO† TALLA M	2040	               28	UN	         26.29	           736.22
	10/2021	PA04	1401130101	2044	FILTRO DE SEGURIDAD P-100 NORMA 42CFR84	2040	               84	UN	          5.25	           441.00
	10/2021	PA04	1401130101	2063	GAFA DE SEGURIDAD IN OUT†CON CORDONES	2040	               80	UN	          4.75	           380.00
	10/2021	PA04	1401130101	2081	MAMELUCO DESCARTABLE OVERALL CON CAPUCHA	2040	               84	UN	          3.50	           294.00
	10/2021	PA04	1401130101	2086	ELECTROV. PH-PNE-ISO N2 620046D VENTOMAT	2040	                4	UN	        298.46	         1,193.82
	10/2021	PA04	1401130101	2094	CUERPO DEL PISTON FABCORPS_19719 ITECA	2040	                1	UN	        135.12	           135.12
	10/2021	PA04	1401130101	2096	DISCO DEL PISTON FABFLASQUE_10847 ITECA	2040	                1	UN	         50.77	            50.77
	10/2021	PA04	1401130101	2099	KEROSENE	2040	                3	GLN	          7.10	            21.30
	10/2021	PA04	1401130101	2107	BOLSA TRANSPARENTE 16 X 24 CM	2040	              499	UN	          0.19	            92.32
	10/2021	PA04	1401130101	2126	ARENA GRUESA C 190	2040	               62	UN	         51.90	         3,217.70
	10/2021	PA04	1401130101	2128	ARENA FINA C 109 O C778	2040	               47	UN	         89.26	         4,195.20
	10/2021	PA04	1401130101	2134	PAPEL FILTRO # 1 - REFERENCIA 28450 -128	2040	                3	CJ	         16.00	            48.00
	10/2021	PA04	1401130101	2136	PAPEL FILTRO # 41 (PN1250125)	2040	                2	CJ	         34.50	            69.00
	10/2021	PA04	1401130101	2138	PAPEL FILTRO # 40 - PN1242125	2040	                6	CJ	         26.13	           156.75
	10/2021	PA04	1401130101	2138	PAPEL FILTRO # 40 - PN1242125	2040	               14	CJ	          0.00	             0.00
	10/2021	PA04	1401130101	2144	TUBO PLASTICO CON TAPA DE 16 ML	2040	               22	UN	          3.55	            78.20
	10/2021	PA04	1401130101	2147	TERMOMETROS BOLSILLO 0 - 250∞CENTIGRADOS	2040	               25	UN	         50.96	         1,273.94
	10/2021	PA04	1401130101	2149	AGUA DESTILADA	2040	               15	GLN	         12.55	           188.25
	10/2021	PA04	1401130101	2152	PROPELA PARA CALORIMETRO	2040	                2	UN	          0.00	             0.00
	10/2021	PA04	1401130101	2152	PROPELA PARA CALORIMETRO	2040	                3	UN	        201.80	           605.40
	10/2021	PA04	1401130101	2158	CRISOL PORCELANA 12 ML (35X28) SIN TAPA	2040	               11	UN	          6.43	            70.71
	10/2021	PA04	1401130101	2161	SILICA GEL(ADQ 2084)	2040	                2	KG	        140.00	           280.00
	10/2021	PA04	1401130101	2170	ETILENGLICOL	2040	               40	L	         25.50	         1,020.00
	10/2021	PA04	1401130101	2172	INDICADOR VERDE BROMOCRESOL	2040	                5	G	         25.60	           128.00
	10/2021	PA04	1401130101	2176	ACIDO CLORHIDRICO (HCL) 7647-01-0	2040	                5	L	         12.00	            60.00
	10/2021	PA04	1401130101	2176	ACIDO CLORHIDRICO (HCL) 7647-01-0	2040	            0.500	L	          0.00	             0.00
	10/2021	PA04	1401130101	2178	HIDROXIDO DE SODIO (NAOH) 1310-73-2	2040	            0.500	KG	          0.00	             0.00
	10/2021	PA04	1401130101	2178	HIDROXIDO DE SODIO (NAOH) 1310-73-2	2040	                5	KG	         26.20	           131.02
	10/2021	PA04	1401130101	2180	NITRATO DE AMONIO (NH4NO3) 6484-52-2	2040	            8.600	KG	        169.58	         1,458.43
	10/2021	PA04	1401130101	2195	ALCOHOL ETÕLICO (ETANOL) CH3CH2OH	2040	           17.500	L	         42.71	           747.50
	10/2021	PA04	1401130101	2197	TRIETANOLAMINA NO. CAS 102-71-6	2040	              500	ML	          0.81	           405.63
	10/2021	PA04	1401130101	2200	ALCOHOL ISOPROPILICO NO. DE CAS 67-63-0	2040	               12	L	          9.60	           115.20
	10/2021	PA04	1401130101	2203	LINEA D/VIDA	2040	                1	UN	        360.00	           360.00
	10/2021	PA04	1401130101	2204	ACIDO NITRICO NO. DE CAS 7697-37-2	2040	            2.500	L	         35.44	            88.60
	10/2021	PA04	1401130101	2208	ACIDO PERCLORICO NO. DE CAS 7601-90-3	2040	            2.500	L	        170.40	           426.00
	10/2021	PA04	1401130101	2210	ACIDO FLUORHIDRICO NO. DE CAS 7664-39-3	2040	            1.500	L	        136.00	           204.00
	10/2021	PA04	1401130101	2219	ACIDO CITRICO NO. DE CAS 77-92-9	2040	            2,500	G	          0.05	           125.00
	10/2021	PA04	1401130101	2224	OXIDO DE ZINC NO. DE CAS 1314-13-2	2040	              500	G	          0.16	            81.00
	10/2021	PA04	1401130101	2227	ROJO METILO NO. DE CAS 493-52-7	2040	               25	G	          1.40	            35.00
	10/2021	PA04	1401130101	2244	FTALATO DE DIBUTILO NO. DE CAS 84-74-2	2040	              500	G	          0.26	           132.23
	10/2021	PA04	1401130101	2251	CLORURO DE BARIO DIHIDRATADO 10326-27-9	2040	                1	KG	         70.00	            70.00
	10/2021	PA04	1401130101	2260	DIFENILAMINA SULFONATO DE BARIO	2040	               50	G	          2.17	           108.67
